Relative_Day,Inspection_ID,Position,PN,SN,Water,Disbond,mAm,SFD,D4,D7,Exposure,Bin mAm,Bin SFD,Relative_Week,Relative_Month,Relative_Quarter,Rain_Season
317,E282,RH,PN02,SN010,1,1,2,2,0,1,0.5,MID,LONG,45,10,4,NW
317,E281,RH,PN02,SN024,1,1,6,2,1,0,1.5,HIGH,LONG,45,10,4,NW
318,E286,RH,PN02,SN031,1,1,2,1.5,0,1,0.9,MID,SHORT,45,10,4,NW
318,E284,RH,PN02,SN044,0,1,2,2,0,1,0.5,MID,LONG,45,10,4,NW
318,E283,RH,PN02,SN033,0,1,6,2,1,0,1.5,HIGH,LONG,45,10,4,NW
318,E285,RH,PN02,SN003,0,1,2,2,1,0,0.5,MID,LONG,45,10,4,NW
322,E287,LH,PN02,SN025,0,1,2,1.7,1,0,0.7,MID,SHORT,46,10,4,NW
323,E288,LH,PN02,SN023,1,0,2,1.7,1,0,0.7,MID,SHORT,46,10,4,NW
324,E289,RH,PN02,SN020,0,1,2,2,0,1,0.5,MID,LONG,46,10,4,NW
326,E290,LH,PN02,SN010,1,1,2,2,1,0,0.5,MID,LONG,46,10,4,NW
327,E292,RH,PN02,SN016,0,1,6,2,1,0,1.5,HIGH,LONG,46,10,4,NW
327,E291,LH,PN02,SN002,1,1,2,2,0,1,0.5,MID,LONG,46,10,4,NW
328,E294,RH,PN02,SN021,1,1,2,2,0,1,0.5,MID,LONG,46,10,4,NW
328,E293,LH,PN02,SN033,0,1,2,2,0,1,0.5,MID,LONG,46,10,4,NW
329,E295,LH,PN02,SN036,0,1,2,2,0,1,0.5,MID,LONG,47,10,4,NW
331,E296,RH,PN02,SN023,0,1,2,2,1,0,0.5,MID,LONG,47,11,4,NW
334,E298,LH,PN02,SN030,0,1,2,2,0,1,0.5,MID,LONG,47,11,4,NW
334,E297,LH,PN02,SN025,1,1,6,2,1,0,1.5,HIGH,LONG,47,11,4,NW
337,E299,LH,PN02,SN014,1,1,2,2,0,1,0.5,MID,LONG,48,11,4,NW
338,E300,RH,PN02,SN004,1,1,2,2,0,1,0.5,MID,LONG,48,11,4,NW
338,E301,RH,PN02,SN047,0,1,5.3,2,1,0,1.3,HIGH,LONG,48,11,4,NW
341,E305,RH,PN02,SN014,0,1,2,2,1,0,0.5,MID,LONG,48,11,4,NW
341,E304,RH,PN02,SN020,1,1,2,1.3,1,0,1.2,MID,SHORT,48,11,4,NW
341,E303,RH,PN02,SN014,0,1,2,2,1,0,0.5,MID,LONG,48,11,4,NW
341,E306,LH,PN02,SN038,0,1,6,2,1,0,1.5,HIGH,LONG,48,11,4,NW
341,E302,LH,PN02,SN013,0,1,2,2,0,1,0.5,MID,LONG,48,11,4,NW
342,E307,RH,PN02,SN032,0,1,2,2,0,1,0.5,MID,LONG,48,11,4,NW
344,E308,RH,PN02,SN048,0,1,2,2,1,0,0.5,MID,LONG,49,11,4,NW
348,E310,RH,PN02,SN004,0,1,2,2,1,0,0.5,MID,LONG,49,11,4,NW
348,E309,RH,PN02,SN035,0,0,2,2,0,1,0.5,MID,LONG,49,11,4,NW
348,E311,LH,PN02,SN033,0,1,2,2,0,1,0.5,MID,LONG,49,11,4,NW
349,E312,RH,PN02,SN002,1,1,6,2,1,0,1.5,HIGH,LONG,49,11,4,NW
349,E313,RH,PN02,SN002,0,1,2,2,0,1,0.5,MID,LONG,49,11,4,NW
351,E314,RH,PN02,SN034,1,1,2,2,0,1,0.5,MID,LONG,50,11,4,NW
355,E315,LH,PN02,SN024,0,1,6,2,1,0,1.5,HIGH,LONG,50,11,4,NW
358,E316,RH,PN02,SN006,0,1,2,2,1,0,0.5,MID,LONG,51,11,4,NW
361,E317,RH,PN02,SN004,0,1,5.6,2,1,0,1.4,HIGH,LONG,51,12,5,NW
362,E320,RH,PN02,SN002,0,1,2,2,0,1,0.5,MID,LONG,51,12,5,NW
362,E319,LH,PN02,SN005,0,1,2,2,0,1,0.5,MID,LONG,51,12,5,NW
362,E318,RH,PN02,SN007,0,1,5.6,2,1,0,1.4,HIGH,LONG,51,12,5,NW
363,E321,LH,PN02,SN011,0,1,2,2,0,1,0.5,MID,LONG,51,12,5,NW
368,E325,LH,PN02,SN038,0,1,2,2,0,1,0.5,MID,LONG,52,12,5,NW
368,E324,LH,PN02,SN018,0,1,6,2,1,0,1.5,HIGH,LONG,52,12,5,NW
368,E323,LH,PN02,SN005,1,1,2,2,0,1,0.5,MID,LONG,52,12,5,NW
368,E322,LH,PN02,SN048,1,0,2,0.8,0,1,3.1,MID,SHORT,52,12,5,NW
369,E326,LH,PN02,SN010,0,1,6,2,1,0,1.5,HIGH,LONG,52,12,5,NW
370,E327,LH,PN02,SN020,0,1,6,2,1,0,1.5,HIGH,LONG,52,12,5,NW
371,E328,RH,PN02,SN033,0,1,2,2,1,0,0.5,MID,LONG,53,12,5,NW
373,E330,RH,PN02,SN016,0,1,2,2,1,0,0.5,MID,LONG,53,12,5,NW
373,E329,LH,PN02,SN025,1,1,2,2,0,1,0.5,MID,LONG,53,12,5,NW
375,E331,RH,PN02,SN005,1,1,6,2,1,0,1.5,HIGH,LONG,53,12,5,NW
376,E332,RH,PN02,SN047,0,1,6,2,1,0,1.5,HIGH,LONG,53,12,5,NW
377,E333,RH,PN02,SN022,0,1,2,2,0,1,0.5,MID,LONG,53,12,5,NW
380,E334,RH,PN02,SN042,0,1,2,2,0,1,0.5,MID,LONG,54,12,5,NW
381,E335,LH,PN02,SN026,0,1,2,2,0,1,0.5,MID,LONG,54,12,5,NW
383,E336,LH,PN02,SN025,1,1,2,2,0,1,0.5,MID,LONG,54,12,5,NW
384,E337,RH,PN02,SN012,0,1,2,2,0,1,0.5,MID,LONG,54,12,5,NW
386,E338,LH,PN02,SN019,0,1,2,2,0,1,0.5,MID,LONG,55,12,5,NW
389,E340,RH,PN02,SN031,0,1,2,2,0,1,0.5,MID,LONG,55,12,5,NW
389,E339,LH,PN02,SN020,1,1,2,2,0,1,0.5,MID,LONG,55,12,5,NW
390,E341,LH,PN02,SN024,0,1,2,2,0,1,0.5,MID,LONG,55,13,5,NW
400,E342,LH,PN02,SN043,0,1,5.6,2,1,0,1.4,HIGH,LONG,57,13,5,Transition
401,E343,RH,PN02,SN028,1,1,6,2,1,0,1.5,HIGH,LONG,57,13,5,Transition
401,E344,RH,PN02,SN015,0,1,2,2,0,1,0.5,MID,LONG,57,13,5,Transition
405,E349,LH,PN02,SN036,0,1,2,2,0,1,0.5,MID,LONG,57,13,5,Transition
405,E345,LH,PN02,SN002,0,1,2,2,1,0,0.5,MID,LONG,57,13,5,Transition
405,E347,LH,PN02,SN045,0,1,6,2,1,0,1.5,HIGH,LONG,57,13,5,Transition
405,E348,LH,PN02,SN007,0,1,2,2,1,0,0.5,MID,LONG,57,13,5,Transition
405,E346,RH,PN02,SN023,1,1,6,2,1,0,1.5,HIGH,LONG,57,13,5,Transition
407,E350,RH,PN02,SN026,1,1,6,2,1,0,1.5,HIGH,LONG,58,13,5,Transition
408,E352,RH,PN02,SN024,1,1,5.5,2,1,0,1.4,HIGH,LONG,58,13,5,Transition
408,E351,RH,PN02,SN014,1,1,2,2,0,1,0.5,MID,LONG,58,13,5,Transition
409,E353,RH,PN02,SN040,0,1,2,2,0,1,0.5,MID,LONG,58,13,5,Transition
413,E354,RH,PN02,SN020,0,1,2,2,1,0,0.5,MID,LONG,59,13,5,Transition
414,E355,LH,PN02,SN024,0,1,2,2,1,0,0.5,MID,LONG,59,13,5,Transition
415,E356,LH,PN02,SN041,0,1,2,2,1,0,0.5,MID,LONG,59,13,5,Transition
416,E357,LH,PN02,SN012,1,1,6,2,1,0,1.5,HIGH,LONG,59,13,5,Transition
418,E358,LH,PN02,SN025,0,1,2,2,0,1,0.5,MID,LONG,59,13,5,Transition
418,E359,RH,PN02,SN032,1,1,2,2,1,0,0.5,MID,LONG,59,13,5,Transition
419,E360,LH,PN02,SN019,1,1,2,2,0,1,0.5,MID,LONG,59,13,5,Transition
419,E361,LH,PN02,SN008,1,1,2,2,0,1,0.5,MID,LONG,59,13,5,Transition
419,E362,RH,PN02,SN029,0,0,5.7,2,1,0,1.4,HIGH,LONG,59,13,5,Transition
419,E363,RH,PN02,SN029,1,1,5.1,2,1,0,1.3,HIGH,LONG,59,13,5,Transition
420,E364,LH,PN02,SN048,0,1,2,2,0,1,0.5,MID,LONG,60,14,5,Transition
423,E365,LH,PN02,SN014,0,1,2,2,0,1,0.5,MID,LONG,60,14,5,Transition
428,E366,LH,PN02,SN046,1,1,2,2,0,1,0.5,MID,LONG,61,14,5,Transition
433,E367,RH,PN02,SN009,0,1,2,2,0,1,0.5,MID,LONG,61,14,5,Transition
436,E368,LH,PN02,SN009,1,1,2,2,0,1,0.5,MID,LONG,62,14,5,Transition
446,E369,RH,PN02,SN037,0,1,2,2,1,0,0.5,MID,LONG,63,14,5,Transition
447,E372,RH,PN02,SN026,1,1,6,2,1,0,1.5,HIGH,LONG,63,14,5,Transition
447,E373,LH,PN02,SN037,1,1,2,2,0,1,0.5,MID,LONG,63,14,5,Transition
447,E370,RH,PN02,SN026,0,1,2,1.1,0,1,1.7,MID,SHORT,63,14,5,Transition
447,E371,LH,PN02,SN047,1,0,2,2,0,1,0.5,MID,LONG,63,14,5,Transition
448,E374,LH,PN02,SN041,0,1,5.4,2,1,0,1.4,HIGH,LONG,64,14,5,Transition
450,E375,RH,PN02,SN013,0,1,2,2,1,0,0.5,MID,LONG,64,15,6,Transition
452,E376,RH,PN02,SN006,0,1,2,2,0,1,0.5,MID,LONG,64,15,6,Transition
456,E377,LH,PN02,SN020,0,1,2,2,1,0,0.5,MID,LONG,65,15,6,Transition
457,E380,LH,PN03,SN001,0,1,2,2,0,1,0.5,MID,LONG,65,15,6,Transition
457,E381,RH,PN03,SN001,1,1,2,2,1,0,0.5,MID,LONG,65,15,6,Transition
457,E378,LH,PN03,SN001,1,1,2,2,1,0,0.5,MID,LONG,65,15,6,Transition
457,E379,RH,PN03,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,65,15,6,Transition
460,E382,LH,PN03,SN001,0,1,2,2,1,0,0.5,MID,LONG,65,15,6,Transition
462,E383,LH,PN03,SN001,0,1,2,2,1,0,0.5,MID,LONG,66,15,6,Transition
463,E384,LH,PN03,SN001,1,1,2,2,1,0,0.5,MID,LONG,66,15,6,Transition
464,E385,LH,PN03,SN001,1,1,6,2,1,0,1.5,HIGH,LONG,66,15,6,Transition
465,E388,RH,PN04,SN004,0,1,6,2,1,0,1.5,HIGH,LONG,66,15,6,Transition
465,E389,LH,PN04,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,66,15,6,Transition
465,E386,RH,PN03,SN001,0,1,2,2,0,1,0.5,MID,LONG,66,15,6,Transition
465,E387,RH,PN04,SN003,0,1,2,2,0,1,0.5,MID,LONG,66,15,6,Transition
475,E390,LH,PN04,SN004,1,1,2,2,1,0,0.5,MID,LONG,67,15,6,Transition
476,E391,RH,PN04,SN002,0,1,2,2,0,1,0.5,MID,LONG,68,15,6,Transition
479,E392,RH,PN04,SN006,1,1,2,2,0,1,0.5,MID,LONG,68,15,6,Transition
480,E395,RH,PN04,SN002,0,1,2,2,0,1,0.5,MID,LONG,68,16,6,Transition
480,E394,LH,PN04,SN001,0,1,5.5,2,1,0,1.4,HIGH,LONG,68,16,6,Transition
480,E393,LH,PN04,SN004,1,1,6,2,1,0,1.5,HIGH,LONG,68,16,6,Transition
483,E396,RH,PN04,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,69,16,6,Transition
483,E397,LH,PN04,SN004,0,1,2,2,1,0,0.5,MID,LONG,69,16,6,Transition
483,E398,RH,PN04,SN005,0,1,2,2,1,0,0.5,MID,LONG,69,16,6,Transition
483,E399,LH,PN04,SN001,0,1,5.8,2,1,0,1.4,HIGH,LONG,69,16,6,Transition
485,E400,RH,PN04,SN006,0,1,5.3,2,1,0,1.3,HIGH,LONG,69,16,6,SE
486,E403,LH,PN04,SN003,0,1,2,1.6,0,1,0.8,MID,SHORT,69,16,6,SE
486,E402,LH,PN04,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,69,16,6,SE
486,E404,RH,PN04,SN005,0,1,6,2,1,0,1.5,HIGH,LONG,69,16,6,SE
486,E401,RH,PN04,SN001,0,1,5.9,0.8,1,0,9.2,HIGH,SHORT,69,16,6,SE
489,E405,LH,PN04,SN006,0,0,6,2,1,0,1.5,HIGH,LONG,69,16,6,SE
490,E406,RH,PN04,SN001,1,0,2,0.9,0,1,2.5,MID,SHORT,70,16,6,SE
493,E407,LH,PN04,SN001,0,1,2,2,0,1,0.5,MID,LONG,70,16,6,SE
493,E408,RH,PN04,SN001,0,1,2,2,0,1,0.5,MID,LONG,70,16,6,SE
493,E409,LH,PN04,SN006,0,1,6,2,1,0,1.5,HIGH,LONG,70,16,6,SE
493,E410,RH,PN04,SN006,1,1,5.1,2,1,0,1.3,HIGH,LONG,70,16,6,SE
493,E411,LH,PN05,SN001,1,1,2,0.9,0,1,2.5,MID,SHORT,70,16,6,SE
494,E412,LH,PN05,SN003,0,1,2,2,1,0,0.5,MID,LONG,70,16,6,SE
495,E415,RH,PN05,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,70,16,6,SE
495,E416,RH,PN05,SN002,1,1,2,2,0,1,0.5,MID,LONG,70,16,6,SE
495,E413,RH,PN05,SN002,0,1,6,2,1,0,1.5,HIGH,LONG,70,16,6,SE
495,E414,RH,PN05,SN006,1,1,5.8,2,1,0,1.4,HIGH,LONG,70,16,6,SE
498,E418,RH,PN05,SN003,1,1,5.4,2,1,0,1.4,HIGH,LONG,71,16,6,SE
498,E417,RH,PN05,SN001,1,1,2,2,0,1,0.5,MID,LONG,71,16,6,SE
499,E419,RH,PN05,SN004,0,1,6,2,1,0,1.5,HIGH,LONG,71,16,6,SE
500,E420,RH,PN05,SN001,0,1,2,2,0,1,0.5,MID,LONG,71,16,6,SE
503,E422,RH,PN05,SN001,0,1,2,2,0,1,0.5,MID,LONG,71,16,6,SE
503,E421,LH,PN05,SN001,1,1,5.5,2,1,0,1.4,HIGH,LONG,71,16,6,SE
513,E423,RH,PN05,SN005,1,1,6,2,1,0,1.5,HIGH,LONG,73,17,6,SE
513,E427,LH,PN05,SN005,1,1,2,2,0,1,0.5,MID,LONG,73,17,6,SE
513,E426,RH,PN05,SN005,0,1,2,2,0,1,0.5,MID,LONG,73,17,6,SE
513,E425,LH,PN05,SN006,1,1,2,2,0,1,0.5,MID,LONG,73,17,6,SE
513,E424,RH,PN05,SN003,1,0,2,1.9,0,1,0.6,MID,SHORT,73,17,6,SE
514,E428,LH,PN05,SN005,0,1,5.8,2,1,0,1.4,HIGH,LONG,73,17,6,SE
514,E429,LH,PN06,SN004,1,1,2,2,1,0,0.5,MID,LONG,73,17,6,SE
518,E430,LH,PN06,SN005,1,1,2,2,0,1,0.5,MID,LONG,74,17,6,SE
518,E431,LH,PN06,SN001,1,1,6,2,1,0,1.5,HIGH,LONG,74,17,6,SE
519,E432,LH,PN06,SN001,0,1,2,2,1,0,0.5,MID,LONG,74,17,6,SE
520,E434,RH,PN06,SN005,0,1,2,2,1,0,0.5,MID,LONG,74,17,6,SE
520,E436,RH,PN06,SN005,1,1,2,2,0,1,0.5,MID,LONG,74,17,6,SE
520,E435,LH,PN06,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,74,17,6,SE
520,E433,LH,PN06,SN002,0,1,2,2,0,1,0.5,MID,LONG,74,17,6,SE
522,E437,RH,PN07,SN002,1,1,5.2,2,1,0,1.3,HIGH,LONG,74,17,6,SE
524,E438,LH,PN07,SN003,0,1,2,2,1,0,0.5,MID,LONG,74,17,6,SE
525,E439,RH,PN07,SN002,1,1,6,2,1,0,1.5,HIGH,LONG,75,17,6,SE
527,E440,RH,PN07,SN002,0,1,2,2,1,0,0.5,MID,LONG,75,17,6,SE
529,E441,RH,PN07,SN003,0,1,2,2,0,1,0.5,MID,LONG,75,17,6,SE
532,E442,LH,PN07,SN002,0,1,6,2,1,0,1.5,HIGH,LONG,76,17,6,SE
533,E444,RH,PN07,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,76,17,6,SE
533,E443,RH,PN07,SN001,1,0,2,2,0,1,0.5,MID,LONG,76,17,6,SE
533,E445,RH,PN07,SN003,0,1,2,2,1,0,0.5,MID,LONG,76,17,6,SE
534,E446,LH,PN07,SN003,0,1,2,2,0,1,0.5,MID,LONG,76,17,6,SE
535,E448,LH,PN07,SN002,0,1,6,2,1,0,1.5,HIGH,LONG,76,17,6,SE
535,E447,RH,PN07,SN003,0,1,6,1.3,1,0,3.6,HIGH,SHORT,76,17,6,SE
537,E450,LH,PN08,SN001,1,1,6,2,1,0,1.5,HIGH,LONG,76,17,6,SE
537,E449,LH,PN08,SN002,0,1,6,2,1,0,1.5,HIGH,LONG,76,17,6,SE
538,E451,LH,PN08,SN003,1,1,2,1.5,0,1,0.9,MID,SHORT,76,17,6,SE
539,E452,RH,PN08,SN003,0,1,5.6,2,1,0,1.4,HIGH,LONG,77,17,6,SE
540,E453,RH,PN08,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,77,18,7,SE
541,E454,RH,PN08,SN001,0,1,2,2,0,1,0.5,MID,LONG,77,18,7,SE
541,E455,RH,PN08,SN003,1,1,2,2,0,1,0.5,MID,LONG,77,18,7,SE
541,E456,LH,PN08,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,77,18,7,SE
542,E457,RH,PN08,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,77,18,7,SE
544,E458,RH,PN08,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,77,18,7,SE
546,E460,LH,PN08,SN003,0,1,5.3,2,1,0,1.3,HIGH,LONG,78,18,7,SE
546,E461,RH,PN08,SN002,0,1,2,2,1,0,0.5,MID,LONG,78,18,7,SE
546,E459,LH,PN08,SN002,1,1,2,2,0,1,0.5,MID,LONG,78,18,7,SE
550,E462,RH,PN08,SN003,0,0,6,2,1,0,1.5,HIGH,LONG,78,18,7,SE
554,E463,RH,PN08,SN002,1,1,2,2,1,0,0.5,MID,LONG,79,18,7,SE
555,E464,RH,PN08,SN003,0,1,2,2,1,0,0.5,MID,LONG,79,18,7,SE
565,E465,LH,PN08,SN003,0,1,2,2,0,1,0.5,MID,LONG,80,18,7,SE
566,E466,LH,PN08,SN001,0,1,2,2,0,1,0.5,MID,LONG,80,18,7,SE
567,E467,LH,PN09,SN004,0,1,6,2,1,0,1.5,HIGH,LONG,81,18,7,SE
568,E468,RH,PN09,SN002,0,1,2,2,0,1,0.5,MID,LONG,81,18,7,SE
569,E469,LH,PN09,SN001,1,1,6,1.7,1,0,2.1,HIGH,SHORT,81,18,7,SE
571,E470,RH,PN09,SN002,1,1,6,2,1,0,1.5,HIGH,LONG,81,19,7,SE
572,E471,LH,PN09,SN002,0,1,6,2,1,0,1.5,HIGH,LONG,81,19,7,SE
572,E473,RH,PN09,SN004,0,1,2,2,0,1,0.5,MID,LONG,81,19,7,SE
572,E472,LH,PN09,SN003,0,1,2,2,1,0,0.5,MID,LONG,81,19,7,SE
573,E474,RH,PN09,SN003,1,1,5.6,2,1,0,1.4,HIGH,LONG,81,19,7,SE
574,E475,LH,PN09,SN003,1,1,6,2,1,0,1.5,HIGH,LONG,82,19,7,SE
575,E476,RH,PN09,SN004,0,1,2,1,0,1,2,MID,SHORT,82,19,7,SE
576,E477,LH,PN09,SN004,0,1,2,2,0,1,0.5,MID,LONG,82,19,7,SE
577,E478,RH,PN09,SN004,0,1,2,2,0,1,0.5,MID,LONG,82,19,7,SE
578,E479,RH,PN09,SN002,1,1,2,2,0,1,0.5,MID,LONG,82,19,7,SE
579,E480,RH,PN09,SN003,0,1,5.4,2,1,0,1.4,HIGH,LONG,82,19,7,SE
581,E481,LH,PN09,SN003,0,1,6,2,1,0,1.5,HIGH,LONG,83,19,7,SE
583,E482,RH,PN10,SN002,0,1,2,2,0,1,0.5,MID,LONG,83,19,7,SE
584,E484,LH,PN10,SN002,0,1,6,1.1,1,0,5,HIGH,SHORT,83,19,7,SE
584,E485,LH,PN10,SN002,1,1,6,2,1,0,1.5,HIGH,LONG,83,19,7,SE
584,E483,LH,PN10,SN001,1,1,2,2,0,1,0.5,MID,LONG,83,19,7,SE
588,E486,RH,PN10,SN001,1,1,2,2,0,1,0.5,MID,LONG,84,19,7,SE
589,E488,LH,PN11,SN001,0,1,2,2,0,1,0.5,MID,LONG,84,19,7,SE
589,E487,LH,PN11,SN001,0,0,2,2,0,1,0.5,MID,LONG,84,19,7,SE
591,E489,LH,PN11,SN002,1,1,6,2,1,0,1.5,HIGH,LONG,84,19,7,SE
592,E490,RH,PN11,SN002,0,1,5.4,2,1,0,1.4,HIGH,LONG,84,19,7,SE
593,E491,LH,PN11,SN002,1,1,2,2,1,0,0.5,MID,LONG,84,19,7,SE
594,E492,RH,PN11,SN001,0,1,5.2,2,1,0,1.3,HIGH,LONG,84,19,7,SE
596,E493,LH,PN11,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,85,19,7,SE
597,E495,RH,PN12,SN001,0,1,2,2,0,1,0.5,MID,LONG,85,19,7,SE
597,E494,LH,PN11,SN002,0,1,2,2,0,1,0.5,MID,LONG,85,19,7,SE
600,E496,RH,PN12,SN001,1,1,6,2,1,0,1.5,HIGH,LONG,85,20,7,SE
601,E497,RH,PN12,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,85,20,7,SE
602,E498,RH,PN12,SN001,1,1,2,2,0,1,0.5,MID,LONG,86,20,7,SE
603,E499,RH,PN13,SN002,0,1,6,2,1,0,1.5,HIGH,LONG,86,20,7,SE
604,E500,RH,PN13,SN004,0,1,2,2,1,0,0.5,MID,LONG,86,20,7,SE
605,E501,LH,PN13,SN003,0,1,2,2,1,0,0.5,MID,LONG,86,20,7,SE
606,E502,RH,PN13,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,86,20,7,SE
609,E503,RH,PN13,SN001,0,1,6,2,1,0,1.5,HIGH,LONG,87,20,7,Transition
